id	name	rarity	description	requirements	effects	end
4905	The Arcane Avalanche	2	The mountain peaks are so saturated with magic and cold that the very snow has become sentient and hostile. A massive 'living' blizzard is currently burying the provincial capital.	magic 5|cold 3|mountain 1	kill 40|com 2231|6d6units 1202|incscale2 Cold	
4906	The Rust-Plague	1	The intense drive for production in the humid, lawless swamp has backfired. An unlucky, magical rust is eating the equipment and the armor of the garrison.	prod 5|chaos 3|swamp 1	defence -30|gold -800|landprod -20	
4907	The Solar Necropolis	2	The weight of death in the shimmering waste has drawn the sun's ire. The dead are not merely rising; they are being baked into brittle, fire-breathing husks that wander the dunes.	death 5|heat 3|waste 1	com 533|6d6units 615|A600 617|kill 5	
4908	The Harmonic Excavation	-2	The deep earth's magic has reached a frequency that perfectly complements the local industry. Walls are not dug, they are 'sung' out of the rock, revealing massive gold deposits.	magic 5|prod 3|cave 1	newsite 70|landgold 50|2d6vis E	
4909	The Stifling Bureaucracy	2	Absolute order and a vacuum of magic have created a society so rigid and grey that the inhabitants have begun to simply stop moving. The province is a gallery of living statues.	order 5|unmagic 3|land 1	taxboost -200|landgold -20|unrest -100|kill 5	
4910	The Chimeric Bloom	-2	Wild magic and explosive growth have turned the reefs into a nightmare of beautiful, predatory life. A being of living coral has manifested to lead these monsters in your name.	magic 5|growth 3|land 0	nation -2|com 394|10d6units 394|A300 394	
4911	The Frozen Archive	-1	The absolute zero of the waste has preserved the memories of a long-dead civilization. Your mages have found a way to read the very frost on the stones, gaining immense lore.	cold 5|magic 3|waste 1	research 300|1d6vis S|magicitem 3	
4912	The Scourge of Apathy	2	The total lethargy of the mermen has allowed the deep currents to fill with necrotic silt. The population is too tired to swim away, and is slowly being buried alive in the rot.	sloth 5|death 3|land 0	kill 50|incscale3 Death|incdom -4	
4913	The Industrial Sinkhole	2	The frantic push for production in the lawless caves has led to a catastrophic tectonic failure. The entire mining complex has dropped into a deeper, fire-filled abyss.	prod 5|chaos 5|cave 1	kill 60|gold -5000|fort 0|lab 0	
4914	The Alchemical Overflow	-2	The combination of absolute industry and high magic has resulted in a lab accident that turned the local well-water into liquid gold. The effect is temporary but highly profitable.	prod 5|magic 5|lab 1	gold 2000|1d6vis All|researchaff 2	
4915	The Sun-King’s Mandate	-2	The absolute heat and absolute order of the waste have attracted a solar celestial. He has arrived to impose a 'Burning Justice' upon your enemies.	heat 5|order 5|waste 1	nation -2|com 651|addequip 1|incdom 5	
4916	The Necrotic Bloom	2	Life is too abundant in this land of death. The trees are growing out of the corpses of the inhabitants, and the forest is now a sentient, vengeful mass of undead wood.	growth 5|death 5|forest 1	kill 50|com 1005|10d6units 313|6d6units 314	
4917	The Void-Bridge	2	A vacuum of magic and total social turmoil have thinned the veil to the void. A rift has opened, and the very air is being sucked into the emptiness, taking the populace with it.	unmagic 5|chaos 5|land 1	kill 80|com 308|fort 0|temple 0	
4918	The Rime-Forged Legion	-2	Absolute cold and high production have allowed your smiths to forge armor from 'hard' water. A host of warriors clad in indestructible ice has been raised to serve the god of frost.	cold 5|prod 5|mountain 1	nation -2|2com 1201|12d6units 1202|addequip 2	
4919	The Stagnant Oracle	-2	The absolute stillness of the swamp has acted as a mirror for the heavens. A reclusive oracle has spent decades watching the unmoving water and now offers his prophecies.	sloth 5|luck 5|swamp 1	research 400|incdom 3|magicitem 4	
