id	name	rarity	description	requirements	effects	end
4990	The Scalding Mutiny	1	The heat of the thermal vents is ignored by the disorganized mermen. A minor boiler-leak was left unpatched, and the resulting steam has scalded several prominent citizens, sparking an uprising.	chaos 1|heat 1|land 0	incscale Turmoil|incscale Heat|kill 5|unrest 40	
4991	Deep-Sea Squabbles	1	A dispute over kelp-harvesting rights has turned violent. Without a clear decree from above, the mermen are using their harpoons on one another instead of the fish.	chaos 2|growth 2|land 0	incscale Turmoil|incscale Growth|unrest 50|landgold -10	
4992	The Marsh-Stalker’s Market	1	In the lawless swamp, a group of poachers has established a trade in illicit animal parts. Their presence is drawing dangerous predators closer to the villages.	chaos 1|prod 1|swamp 1	incscale Turmoil|incscale Prod|gold -100|com 403	
4993	The Stagnant Riot	1	A bank of necrotic fog has rolled into the swamp, and the disorganized villagers have gone into a state of blind panic. They are currently burning the dykes that keep the rot at bay.	chaos 1|death 1|swamp 1	incscale Turmoil|incscale Death|kill 10|unrest 60	
4994	The Scouring Sand-Thieves	1	The nomads of the waste have taken advantage of the shimmering heat and your weak garrison to raid the provincial stores. They vanished back into the dunes before the alarm could be raised.	chaos 1|heat 1|waste 1	incscale Turmoil|incscale Heat|gold -300|landprod -5	
4995	The Silence of the Sand	1	The desert has become a place of unmagic and lawlessness. The people have forgotten the holy hymns, replacing them with a violent, nihilistic worship of the wind.	chaos 2|unmagic 2|waste 1	incscale Turmoil|incscale Drain|incdom -5|unrest 15	
4996	The Independent Smith	1	A local blacksmith has refused to follow the army's requirements, choosing instead to sell his steel to the highest bidder. The lack of a strong law has encouraged others to follow his lead.	chaos 1|prod 2|land 1	incscale Turmoil|incscale Prod|gold -200|defence -5	
4997	The Wandering Malaise	1	A wave of lethargy has hit the lawless province. Groups of people are simply sitting in the middle of the roads, refusing to work or move, and the militia is too undisciplined to intervene.	chaos 1|sloth 2|land 1	incscale Turmoil|incscale Sloth|landgold -15|landprod -10	
4998	Molten Negligence	1	In the deep caves, a heat-vent was left unmonitored. The resulting surge has flooded a minor tunnel with magma, incinerating a collection of valuable tools.	chaos 1|heat 2|cave 1	incscale Turmoil|incscale Heat|gold -400|kill 2	
4999	The Frozen Looters	1	An unlucky cold snap has hit the province. In the absence of a strong guard, the people have broken into the state granaries to find things to burn for warmth.	chaos 2|cold 1|land 1	incscale Turmoil|incscale Cold|gold -200|unrest 30	
5000	The Thistle-Uprising	1	Nature is expanding into the disorganized city. The streets are choked with thorns, and the people have begun worshiping the wild vines that are currently strangling your tax collectors.	chaos 2|growth 2|forest 1	incscale Turmoil|incscale Growth|kill 2|unrest 40|incdom -3	
5001	The Ghost-Riot	1	The density of death in the province has reached a point where the dead are visible to the living. The disorganized populace has reacted with mindless violence, burning down the local cemetery gates.	chaos 2|death 1|land 1	incscale Turmoil|incscale Death|unrest 50|com 190	
5002	The Arcane Pranksters	1	Students at the local lab have been using wild magic to harass the townspeople. Without a strict master to oversee them, their 'jokes' have turned into a series of unlucky fires.	chaos 1|magic 2|lab 1	incscale Turmoil|incscale Magic|unrest 45|lab 0	
5003	The Prophet of Nothing	1	In this land where magic is weak and the law is loose, a charlatan has begun preaching that the world is a dream. The people are following his lead, abandoning their chores.	chaos 1|unmagic 2|land 1	incscale Turmoil|incscale Drain|landprod -20|unrest 15	
5004	The Scrapper's Mutiny	1	The miners in the tunnels have seized the equipment and are refusing to return it. They claim that in this lawless land, the steel belongs to those who hold it.	chaos 2|prod 1|cave 1	incscale Turmoil|incscale Prod|gold -300|landprod -15|unrest 40	
5005	The Apathetic Garrison	1	The soldiers have become so lazy that they are now letting bandits through the gates in exchange for a portion of the loot. The law is a joke in this province.	chaos 1|sloth 2|fort 1	incscale Turmoil|incscale Sloth|defence -15|gold -400	
5006	Steam-Choked Panic	1	The heat of the swamp has combined with a minor riot. In the confusion, the dykes were sabotaged, and the resulting steam from the submerged vents has blinded several villagers.	chaos 1|heat 2|swamp 1	incscale Turmoil|incscale Heat|kill 5|disease 5|unrest 50	
5007	The Rime-Sedition	1	The cold has set in, and the local tribes have decided that your rule is too weak to endure the winter. They have stopped paying taxes and are currently raiding the local armory.	chaos 2|cold 2|mountain 1	incscale Turmoil|incscale Cold|taxboost -100|gold -200|unrest 60	
5008	The Fungal Anarchist	1	A rogue herbalist is using the chaos of the province to spread a mutated fungus. The people are being turned into defiant, spore-choked husks who refuse to answer your call.	chaos 1|growth 2|swamp 1	incscale Turmoil|incscale Growth|kill 5|unrest 40|incdom -2	
5009	The Bone-Looters	1	The dead have risen in this lawless land, and the people have reacted not with fear, but with greed. They are currently stripping the ancient skeletal warriors of their bronze equipment.	chaos 1|death 2|land 1	incscale Turmoil|incscale Death|gold 100|unrest 40|defence -10	
